seed,problem,alpha,beta,rho,num_ants,cycle,assigned_variables,total_variables,completion_rate
12345,P16_81,2.00,0.00,0.01,30,0,81,100,0.8100
12345,P16_81,2.00,0.00,0.01,30,1,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,2,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,3,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,4,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,5,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,6,82,100,0.8200
12345,P16_81,2.00,0.00,0.01,30,7,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,8,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,9,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,10,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,11,84,100,0.8400
12345,P16_81,2.00,0.00,0.01,30,12,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,13,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,14,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,15,85,100,0.8500
12345,P16_81,2.00,0.00,0.01,30,16,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,17,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,18,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,19,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,20,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,21,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,22,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,23,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,24,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,25,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,26,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,27,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,28,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,29,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,30,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,31,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,32,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,33,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,34,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,35,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,36,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,37,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,38,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,39,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,40,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,41,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,42,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,43,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,44,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,45,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,46,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,47,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,48,86,100,0.8600
12345,P16_81,2.00,0.00,0.01,30,49,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,0,81,100,0.8100
12345,P16_81,2.00,0.00,0.02,30,1,83,100,0.8300
12345,P16_81,2.00,0.00,0.02,30,2,83,100,0.8300
12345,P16_81,2.00,0.00,0.02,30,3,83,100,0.8300
12345,P16_81,2.00,0.00,0.02,30,4,83,100,0.8300
12345,P16_81,2.00,0.00,0.02,30,5,83,100,0.8300
12345,P16_81,2.00,0.00,0.02,30,6,83,100,0.8300
12345,P16_81,2.00,0.00,0.02,30,7,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,8,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,9,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,10,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,11,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,12,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,13,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,14,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,15,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,16,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,17,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,18,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,19,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,20,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,21,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,22,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,23,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,24,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,25,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,26,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,27,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,28,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,29,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,30,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,31,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,32,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,33,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,34,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,35,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,36,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,37,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,38,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,39,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,40,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,41,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,42,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,43,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,44,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,45,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,46,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,47,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,48,86,100,0.8600
12345,P16_81,2.00,0.00,0.02,30,49,86,100,0.8600
