seed,problem,total_vars,alpha,beta,rho,tau_min,tau_max,num_ants,best_cycle,final_assigned,success,total_cycles,runtime_ms
12345,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,16,86,false,50,123634
12345,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,7,86,false,50,204961
12345,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,4,84,false,50,260421
23456,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,6,86,false,50,715689
23456,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,14,87,false,50,223496
23456,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,16,86,false,50,161972
34567,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,27,85,false,50,169473
34567,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,8,87,false,50,263652
34567,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,2,86,false,50,274777
45678,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,13,85,false,50,262920
45678,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,16,86,false,50,267681
45678,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,1,83,false,50,264585
56789,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,4,86,false,50,1757617
56789,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,0,84,false,50,270539
56789,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,0,84,false,50,260982
67890,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,15,85,false,50,259185
67890,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,12,84,false,50,261496
67890,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,5,85,false,50,257614
78901,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,9,85,false,50,283853
78901,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,10,87,false,50,324581
78901,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,7,85,false,50,257628
89012,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,25,86,false,50,263771
89012,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,21,86,false,50,260205
89012,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,7,85,false,50,1550511
90123,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,32,86,false,50,5031716
90123,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,0,85,false,50,183815
90123,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,0,85,false,50,2982177
101234,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,21,86,false,50,274908
101234,P16_81,100,2.00,0.00,0.02,0.0100,4.00,30,6,84,false,50,250506
101234,P16_81,100,2.00,0.00,0.03,0.0100,4.00,30,13,85,false,50,270191
12345,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,4,82,false,50,256376
12345,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,29,80,false,50,264660
12345,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,2,83,false,50,260457
23456,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,19,84,false,50,262608
23456,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,1,83,false,50,261292
23456,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,3,82,false,50,250306
34567,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,39,85,false,50,230098
34567,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,8,81,false,50,250431
34567,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,6,82,false,50,245097
45678,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,45,84,false,50,254542
45678,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,12,83,false,50,363440
45678,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,2,81,false,50,257826
56789,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,2,82,false,50,257891
56789,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,4,82,false,50,252727
56789,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,3,82,false,50,257340
67890,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,34,85,false,50,259792
67890,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,22,82,false,50,253102
67890,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,3,86,false,50,233546
78901,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,24,83,false,50,250445
78901,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,32,84,false,50,249047
78901,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,0,80,false,50,248457
89012,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,30,85,false,50,235148
89012,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,15,82,false,50,254384
89012,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,2,82,false,50,252263
90123,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,15,83,false,50,259533
90123,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,1,84,false,50,167974
90123,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,1,83,false,50,150211
101234,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,0,83,false,50,153247
101234,P26_82,100,2.00,0.00,0.02,0.0100,4.00,30,0,83,false,50,153898
101234,P26_82,100,2.00,0.00,0.03,0.0100,4.00,30,0,83,false,50,155377
12345,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,18,85,false,50,129324
12345,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,20,86,false,50,128843
12345,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,20,86,false,50,136004
23456,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,33,87,false,50,128067
23456,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,28,87,false,50,127141
23456,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,1,87,false,50,98739
34567,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,27,88,false,50,108483
34567,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,18,87,false,50,104619
34567,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,32,88,false,50,122843
45678,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,22,86,false,50,136320
45678,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,17,87,false,50,122981
45678,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,25,86,false,50,128326
56789,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,29,85,false,50,120404
56789,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,21,88,false,50,81655
56789,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,42,86,false,50,80130
67890,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,11,85,false,50,89274
67890,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,34,86,false,50,149940
67890,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,4,87,false,50,131278
78901,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,23,85,false,50,139193
78901,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,35,86,false,50,139454
78901,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,30,88,false,50,1034005
89012,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,40,88,false,50,81916
89012,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,1,87,false,50,79431
89012,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,2,85,false,50,79365
90123,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,0,87,false,50,79223
90123,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,0,87,false,50,23374703
90123,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,0,87,false,50,79295
101234,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,11,88,false,50,80379
101234,P41_66,100,2.00,0.00,0.02,0.0100,4.00,30,3,86,false,50,80321
101234,P41_66,100,2.00,0.00,0.03,0.0100,4.00,30,37,85,false,50,79328
12345,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,38,82,false,50,93526
12345,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,17,79,false,50,92573
12345,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,44,82,false,50,366525
23456,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,26,80,false,50,92718
23456,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,29,80,false,50,93910
23456,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,3,79,false,50,93713
34567,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,24,81,false,50,92901
34567,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,43,82,false,50,150972
34567,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,9,81,false,50,92307
45678,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,49,80,false,50,93930
45678,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,15,78,false,50,92716
45678,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,43,83,false,50,208872
56789,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,36,81,false,50,92732
56789,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,44,82,false,50,93795
56789,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,31,81,false,50,94234
67890,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,10,86,false,50,92689
67890,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,35,85,false,50,861907
67890,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,16,80,false,50,92286
78901,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,16,81,false,50,161690
78901,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,8,78,false,50,134301
78901,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,30,81,false,50,119444
89012,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,28,81,false,50,168121
89012,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,49,82,false,50,244010
89012,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,7,80,false,50,229366
90123,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,21,80,false,50,144502
90123,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,41,80,false,50,200348
90123,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,20,78,false,50,147808
101234,P6_76,100,2.00,0.00,0.01,0.0100,4.00,30,20,79,false,50,214135
101234,P6_76,100,2.00,0.00,0.02,0.0100,4.00,30,11,80,false,50,230341
101234,P6_76,100,2.00,0.00,0.03,0.0100,4.00,30,17,81,false,50,176896
